name;cmp;rne;specialties;locations;photo;slug;profile_url
Barrionuevo Poquet Grisell Patricia;41119;;Cardiología;Auna Arequipa (Vallesur) - Clínica;https://web-auna-backend-prd-images.s3.amazonaws.com/40347059_57fdc3e546.png;barrionuevo-poquet-grisell-patricia;https://auna.org/pe/staff-medico/barrionuevo-poquet-grisell-patricia
Cannon Zegarra John Christian;73182;;Médico general;Auna Arequipa (Vallesur) - Clínica;https://web-auna-backend-prd-images.s3.amazonaws.com/29736966_81b0afd9a8.png;cannon-zegarra-john-christian;https://auna.org/pe/staff-medico/cannon-zegarra-john-christian
Huaco Cano Cecilia;75941;;Médico general;Auna Arequipa (Vallesur) - Clínica;https://web-auna-backend-prd-images.s3.amazonaws.com/41692370_83c9f0bd9b.png;huaco-cano-cecilia;https://auna.org/pe/staff-medico/huaco-cano-cecilia
Medina Bejar Joel Jesus;69150;;Médico general;Auna Arequipa (Vallesur) - Clínica;https://web-auna-backend-prd-images.s3.amazonaws.com/46717012_6b54d4fb3d.png;medina-bejar-joel-jesus;https://auna.org/pe/staff-medico/medina-bejar-joel-jesus
Nuñez Borja Chirinos Eduardo;46829;;Medicina intensiva;Auna Arequipa (Vallesur) - Clínica;https://web-auna-backend-prd-images.s3.amazonaws.com/40802098_bcaf14590b.png;nunez-borja-chirinos-eduardo;https://auna.org/pe/staff-medico/nunez-borja-chirinos-eduardo
Salas Prado Alan Giancarlo;49511;;Medicina intensiva;Auna Arequipa (Vallesur) - Clínica;https://web-auna-backend-prd-images.s3.amazonaws.com/40764047_3769a17719.png;salas-prado-alan-giancarlo;https://auna.org/pe/staff-medico/salas-prado-alan-giancarlo
Soto Flores Herbert Hugo;53668;;Medicina interna;Auna Arequipa (Vallesur) - Clínica;https://web-auna-backend-prd-images.s3.amazonaws.com/41641095_e69e532ab4.png;soto-flores-herbert-hugo;https://auna.org/pe/staff-medico/soto-flores-herbert-hugo
Vidal Moscoso De Gomez Caroline;71567;;Médico general;Auna Arequipa (Vallesur) - Clínica;https://web-auna-backend-prd-images.s3.amazonaws.com/45298306_a62ce60182.png;vidal-moscoso-de-gomez-caroline;https://auna.org/pe/staff-medico/vidal-moscoso-de-gomez-caroline
Zea Olivera Alan;62217;;Medicina interna;Auna Arequipa (Vallesur) - Clínica;https://web-auna-backend-prd-images.s3.amazonaws.com/44169405_95801d054a.png;zea-olivera-alan;https://auna.org/pe/staff-medico/zea-olivera-alan
Acevedo Tizón Anaïs Caterina;60449;;Servicio de emergencia;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/43752440_2a2e6003a9.png;acevedo-tizon-anais-caterina;https://auna.org/pe/staff-medico/acevedo-tizon-anais-caterina
Acosta Chacaltana Max Carlos;45225;;Endocrinología;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/40374169_36dcb8f9d1.png;acosta-chacaltana-max-carlos;https://auna.org/pe/staff-medico/acosta-chacaltana-max-carlos
Acuña Barrueto Frank Leopoldo;48934;;Ginecología y obstetricia;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/41656879_14602622f8.png;acuna-barrueto-frank-leopoldo;https://auna.org/pe/staff-medico/acuna-barrueto-frank-leopoldo
Aguilar Segura Jorge Arturo;27289;;Alergología;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/09297969_9c1568fbbe.png;aguilar-segura-jorge-arturo;https://auna.org/pe/staff-medico/aguilar-segura-jorge-arturo
Ajalcriña Guerrero Hernán Roberto;39031;;Servicio de emergencia pediátrica;Auna Guardia Civil - Clínica, Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/21533942_2cb734ecb6.png;ajalcrina-guerrero-hernan-roberto;https://auna.org/pe/staff-medico/ajalcrina-guerrero-hernan-roberto
Alarco Castro Raul Rodrigo;49234;;Cirugía oncológica;Clínicas Oncosalud, Auna - Centro de Bienestar, Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/41850941_e9748dd65a.png;alarco-castro-raul-rodrigo;https://auna.org/pe/staff-medico/alarco-castro-raul-rodrigo
Alarco León Walter Alberto;33972;;Cardiología;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/07880546_c70d4b549b.png;alarco-leon-walter-alberto;https://auna.org/pe/staff-medico/alarco-leon-walter-alberto
Alarcón Piana Jorge Mario;30185;;Reumatología;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/09300823_3137cde20c.png;alarcon-piana-jorge-mario;https://auna.org/pe/staff-medico/alarcon-piana-jorge-mario
Alarcón Vásquez Wilder;45576;;Pediatría;Clínica Delgado Auna;https://web-auna-backend-prd-images.s3.amazonaws.com/40438903_54fc797dff.png;alarcon-vasquez-wilder;https://auna.org/pe/staff-medico/alarcon-vasquez-wilder
