id;documentId;fullname;slug;cmp;url_image;profile_url;medicalCode;expertise;isActive;createdAt;updatedAt;specialties;sedes;sedes_slugs;modalities;schedule_summary;education_titles;education_places;education_summary
1823;wv4mw8xqu1fwupywemmol41c;terry mora monica tatiana;terry-mora-monica-tatiana;034572;https://sabrmeamundociprod.blob.core.windows.net/bscbrmeamundociprod/Foto/default.webp;https://clinicainternacional.com.pe/staff-medico/terry-mora-monica-tatiana/;1000386;;True;2025-06-17T16:25:36.974Z;2025-11-22T00:59:57.213Z;;;;;;;;
1824;mk57q9khzftqbfbpuidwms01;soto anamaco nelson felipe;soto-anamaco-nelson-felipe;016284;https://sabrmeamundociprod.blob.core.windows.net/bscbrmeamundociprod/Foto/7026.webp;https://clinicainternacional.com.pe/staff-medico/soto-anamaco-nelson-felipe/;7026;;True;2025-06-17T16:25:37.407Z;2025-11-22T01:00:25.029Z;;;;;;;;
1828;nzow4s5md3q5gjh7blaie4x0;caceres vargas doris;caceres-vargas-doris;015719;https://sabrmeamundociprod.blob.core.windows.net/bscbrmeamundociprod/Foto/default.webp;https://clinicainternacional.com.pe/staff-medico/caceres-vargas-doris/;5297;;True;2025-06-17T16:25:39.071Z;2025-11-22T01:01:36.344Z;;;;;;;;
1830;q8r9a879gpvokji8rtcfaort;flores bustamante claver reynaldo;flores-bustamante-claver-reynaldo;013978;https://sabrmeamundociprod.blob.core.windows.net/bscbrmeamundociprod/Foto/default.webp;https://clinicainternacional.com.pe/staff-medico/flores-bustamante-claver-reynaldo/;8664;;True;2025-06-17T16:25:39.854Z;2025-11-22T01:02:02.830Z;;;;;;;;
1835;c3wzfhxtrn9jvxg11mjhmg07;ingar armijo wilfredo humberto;ingar-armijo-wilfredo-humberto;017823;https://sabrmeamundociprod.blob.core.windows.net/bscbrmeamundociprod/Foto/default.webp;https://clinicainternacional.com.pe/staff-medico/ingar-armijo-wilfredo-humberto/;5988;;True;2025-06-17T16:25:41.501Z;2025-11-22T01:02:40.830Z;;;;;;;;
1839;j1heehma81x4ff3c7lf34973;llanos rodriguez gumercindo rodolfo;llanos-rodriguez-gumercindo-rodolfo;009932;https://sabrmeamundociprod.blob.core.windows.net/bscbrmeamundociprod/Foto/default.webp;https://clinicainternacional.com.pe/staff-medico/llanos-rodriguez-gumercindo-rodolfo/;6152;;True;2025-06-17T16:25:42.866Z;2025-11-22T01:03:20.082Z;;;;;;;;
1841;t5w0kv6mit8dt23egizlamgp;palomino guerrero carmen;palomino-guerrero-carmen;015897;https://sabrmeamundociprod.blob.core.windows.net/bscbrmeamundociprod/Foto/default.webp;https://clinicainternacional.com.pe/staff-medico/palomino-guerrero-carmen/;6552;;True;2025-06-17T16:25:43.630Z;2025-11-22T01:04:27.633Z;;;;;;;;
1843;j5xiaynd8e8sjxcanob7b866;mejia barrutia ana maria;mejia-barrutia-ana-maria;012882;https://sabrmeamundociprod.blob.core.windows.net/bscbrmeamundociprod/Foto/default.webp;https://clinicainternacional.com.pe/staff-medico/mejia-barrutia-ana-maria/;9919;;True;2025-06-17T16:25:44.316Z;2025-11-22T01:04:35.742Z;;;;;;;;
1845;w9e71tublyskzpivahfn2w6j;robles morales carlos ariel;robles-morales-carlos-ariel;007101;https://sabrmeamundociprod.blob.core.windows.net/bscbrmeamundociprod/Foto/default.webp;https://clinicainternacional.com.pe/staff-medico/robles-morales-carlos-ariel/;6784;;True;2025-06-17T16:25:45.055Z;2025-11-22T01:04:56.437Z;;;;;;;;
1851;vxwgjs16m76fgc6g3f7ovofe;urteaga pasache walter gregorio;urteaga-pasache-walter-gregorio;014138;https://sabrmeamundociprod.blob.core.windows.net/bscbrmeamundociprod/Foto/7156.webp;https://clinicainternacional.com.pe/staff-medico/urteaga-pasache-walter-gregorio/;7156;;True;2025-06-17T16:25:46.997Z;2025-11-22T01:05:55.464Z;;;;;;;;
