ID_UBIGEO,Departamento,Provincia,Distrito,Nombre de Distrito,ID_cercarnos
70101,7,1,1,Callao,"70102,70103,70104,70105,70106"
70102,7,1,2,Bellavista,"70101,70103,70104,70105,70106"
70103,7,1,3,Carmen de la Legua - Reynoso,"70102,70104,70101,70105,70106"
70104,7,1,4,La Perla,"70103,70105,70102,70106,70101"
70105,7,1,5,La Punta,"70104,70106,70103,70102,70101"
70106,7,1,6,Ventanilla,"70105,70104,70103,70102,70101"
150101,15,1,1,Lima Cercado,"150102,150104,150105,150106,150107"
150102,15,1,2,Ancón,"150101,150104,150105,150106,150107"
150104,15,1,4,Ate,"150105,150106,150102,150107,150101"
150105,15,1,5,Barranco,"150104,150106,150107,150108,150102"
150106,15,1,6,Breña,"150107,150105,150104,150108,150109"
150107,15,1,7,Carabayllo,"150108,150106,150109,150105,150104"
150108,15,1,8,Chaclacayo,"150109,150107,150110,150106,150105"
150109,15,1,9,Chorrillos,"150110,150108,150107,150111,150112"
150110,15,1,10,Cieneguilla,"150109,150111,150112,150108,150113"
150111,15,1,11,Comas,"150112,150110,150113,150109,150114"
150112,15,1,12,El Agustino,"150113,150111,150114,150110,150115"
150113,15,1,13,Independencia,"150114,150112,150115,150111,150116"
150114,15,1,14,Jesús María,"150115,150113,150116,150112,150117"
150115,15,1,15,La Molina,"150116,150114,150117,150113,150118"
150116,15,1,16,La Victoria,"150117,150115,150118,150114,150119"
150117,15,1,17,Lince,"150116,150118,150119,150115,150114"
150118,15,1,18,Los Olivos,"150119,150117,150120,150116,150121"
150119,15,1,19,Lurigancho,"150120,150118,150121,150117,150122"
150120,15,1,20,Lurín,"150119,150121,150122,150118,150123"
150121,15,1,21,Magdalena del Mar,"150120,150122,150123,150119,150124"
150122,15,1,22,Miraflores,"150123,150121,150120,150124,150125"
150123,15,1,23,Pachacámac,"150124,150122,150125,150121,150120"
150124,15,1,24,Pucusana,"150123,150125,150122,150126,150121"
150125,15,1,25,Pueblo Libre,"150126,150124,150127,150123,150128"
150126,15,1,26,Puente Piedra,"150127,150125,150124,150128,150129"
150127,15,1,27,Punta Hermosa,"150128,150126,150125,150129,150124"
150128,15,1,28,Punta Negra,"150129,150127,150126,150130,150131"
150129,15,1,29,Rímac,"150130,150128,150127,150131,150126"
150130,15,1,30,San Bartolo,"150131,150129,150132,150128,150133"
150131,15,1,31,San Borja,"150132,150130,150129,150133,150128"
150132,15,1,32,San Isidro,"150131,150133,150130,150134,150135"
150133,15,1,33,San Juan de Lurigancho,"150134,150132,150135,150131,150136"
150134,15,1,34,San Juan de Miraflores,"150135,150133,150132,150136,150137"
150135,15,1,35,San Luis,"150136,150134,150137,150133,150138"
150136,15,1,36,San Martín de Porres,"150137,150135,150138,150134,150139"
150137,15,1,37,San Miguel,"150138,150136,150139,150135,150140"
150138,15,1,38,Santa Anita,"150139,150137,150140,150136,150141"
150139,15,1,39,Santa María del Mar,"150140,150138,150141,150137,150142"
150140,15,1,40,Santa Rosa,"150141,150139,150142,150138,150143"
150141,15,1,41,Santiago de Surco,"150142,150140,150143,150139,150144"
150142,15,1,42,Surquillo,"150143,150141,150144,150140,150139"
150143,15,1,43,Villa El Salvador,"150144,150142,150141,150140,150139"
150144,15,1,44,Villa María del Triunfo,"150143,150142,150141,150140,150139"
